region,common_region,metric,scenario,year,unit,value
World,World,Total installed capacity (GW),Historical,2020,GW,60.0
World,World,Total installed capacity (GW),Historical,2023,GW,83.0
World,World,Total installed capacity (GW),Historical,2024,GW,97.0
World,World,Total installed capacity (GW),Base Case,2030,GW,226.0
North America,North America,Total installed capacity (GW),Historical,2020,GW,24.0
North America,North America,Total installed capacity (GW),Historical,2023,GW,35.0
North America,North America,Total installed capacity (GW),Historical,2024,GW,43.0
North America,North America,Total installed capacity (GW),Base Case,2030,GW,102.0
United States,United States,Total installed capacity (GW),Historical,2020,GW,23.0
United States,United States,Total installed capacity (GW),Historical,2023,GW,35.0
United States,United States,Total installed capacity (GW),Historical,2024,GW,42.0
United States,United States,Total installed capacity (GW),Base Case,2030,GW,100.0
Central and South America,Central and South America,Total installed capacity (GW),Historical,2020,GW,0.3
Central and South America,Central and South America,Total installed capacity (GW),Historical,2023,GW,0.4
Central and South America,Central and South America,Total installed capacity (GW),Historical,2024,GW,0.4
Central and South America,Central and South America,Total installed capacity (GW),Base Case,2030,GW,0.8
Europe,Europe,Total installed capacity (GW),Historical,2020,GW,13.0
Europe,Europe,Total installed capacity (GW),Historical,2023,GW,15.0
Europe,Europe,Total installed capacity (GW),Historical,2024,GW,16.0
Europe,Europe,Total installed capacity (GW),Base Case,2030,GW,27.0
Africa,Africa,Total installed capacity (GW),Historical,2020,GW,0.3
Africa,Africa,Total installed capacity (GW),Historical,2023,GW,0.3
Africa,Africa,Total installed capacity (GW),Historical,2024,GW,0.4
Africa,Africa,Total installed capacity (GW),Base Case,2030,GW,0.7
Middle East,Middle East,Total installed capacity (GW),Historical,2020,GW,0.3
Middle East,Middle East,Total installed capacity (GW),Historical,2023,GW,0.3
Middle East,Middle East,Total installed capacity (GW),Historical,2024,GW,0.4
Middle East,Middle East,Total installed capacity (GW),Base Case,2030,GW,0.7
Asia Pacific,Asia Pacific,Total installed capacity (GW),Historical,2020,GW,21.0
Asia Pacific,Asia Pacific,Total installed capacity (GW),Historical,2023,GW,30.0
Asia Pacific,Asia Pacific,Total installed capacity (GW),Historical,2024,GW,36.0
Asia Pacific,Asia Pacific,Total installed capacity (GW),Base Case,2030,GW,92.0
China,China,Total installed capacity (GW),Historical,2020,GW,14.0
China,China,Total installed capacity (GW),Historical,2023,GW,20.0
China,China,Total installed capacity (GW),Historical,2024,GW,24.0
China,China,Total installed capacity (GW),Base Case,2030,GW,67.0
World,World,IT installed capacity (GW),Historical,2020,GW,38.0
World,World,IT installed capacity (GW),Historical,2023,GW,57.0
World,World,IT installed capacity (GW),Historical,2024,GW,68.0
World,World,IT installed capacity (GW),Base Case,2030,GW,174.0
North America,North America,IT installed capacity (GW),Historical,2020,GW,17.0
North America,North America,IT installed capacity (GW),Historical,2023,GW,26.0
North America,North America,IT installed capacity (GW),Historical,2024,GW,32.0
North America,North America,IT installed capacity (GW),Base Case,2030,GW,82.0
United States,United States,IT installed capacity (GW),Historical,2020,GW,17.0
United States,United States,IT installed capacity (GW),Historical,2023,GW,26.0
United States,United States,IT installed capacity (GW),Historical,2024,GW,31.0
United States,United States,IT installed capacity (GW),Base Case,2030,GW,81.0
Central and South America,Central and South America,IT installed capacity (GW),Historical,2020,GW,0.2
Central and South America,Central and South America,IT installed capacity (GW),Historical,2023,GW,0.2
Central and South America,Central and South America,IT installed capacity (GW),Historical,2024,GW,0.2
Central and South America,Central and South America,IT installed capacity (GW),Base Case,2030,GW,0.5
Europe,Europe,IT installed capacity (GW),Historical,2020,GW,8.0
Europe,Europe,IT installed capacity (GW),Historical,2023,GW,10.0
Europe,Europe,IT installed capacity (GW),Historical,2024,GW,11.0
Europe,Europe,IT installed capacity (GW),Base Case,2030,GW,21.0
Africa,Africa,IT installed capacity (GW),Historical,2020,GW,0.1
Africa,Africa,IT installed capacity (GW),Historical,2023,GW,0.2
Africa,Africa,IT installed capacity (GW),Historical,2024,GW,0.2
Africa,Africa,IT installed capacity (GW),Base Case,2030,GW,0.5
Middle East,Middle East,IT installed capacity (GW),Historical,2020,GW,0.1
Middle East,Middle East,IT installed capacity (GW),Historical,2023,GW,0.2
Middle East,Middle East,IT installed capacity (GW),Historical,2024,GW,0.2
Middle East,Middle East,IT installed capacity (GW),Base Case,2030,GW,0.4
Asia Pacific,Asia Pacific,IT installed capacity (GW),Historical,2020,GW,12.0
Asia Pacific,Asia Pacific,IT installed capacity (GW),Historical,2023,GW,19.0
Asia Pacific,Asia Pacific,IT installed capacity (GW),Historical,2024,GW,24.0
Asia Pacific,Asia Pacific,IT installed capacity (GW),Base Case,2030,GW,67.0
China,China,IT installed capacity (GW),Historical,2020,GW,8.0
China,China,IT installed capacity (GW),Historical,2023,GW,13.0
China,China,IT installed capacity (GW),Historical,2024,GW,16.0
China,China,IT installed capacity (GW),Base Case,2030,GW,49.0
World,World,Power usage effectiveness,Historical,2020,ratio,1.53
World,World,Power usage effectiveness,Historical,2023,ratio,1.43
World,World,Power usage effectiveness,Historical,2024,ratio,1.41
World,World,Power usage effectiveness,Base Case,2030,ratio,1.29
North America,North America,Power usage effectiveness,Historical,2020,ratio,1.39
North America,North America,Power usage effectiveness,Historical,2023,ratio,1.32
North America,North America,Power usage effectiveness,Historical,2024,ratio,1.32
North America,North America,Power usage effectiveness,Base Case,2030,ratio,1.24
United States,United States,Power usage effectiveness,Historical,2020,ratio,1.39
United States,United States,Power usage effectiveness,Historical,2023,ratio,1.31
United States,United States,Power usage effectiveness,Historical,2024,ratio,1.32
United States,United States,Power usage effectiveness,Base Case,2030,ratio,1.23
Central and South America,Central and South America,Power usage effectiveness,Historical,2020,ratio,1.82
Central and South America,Central and South America,Power usage effectiveness,Historical,2023,ratio,1.73
Central and South America,Central and South America,Power usage effectiveness,Historical,2024,ratio,1.7
Central and South America,Central and South America,Power usage effectiveness,Base Case,2030,ratio,1.5
Europe,Europe,Power usage effectiveness,Historical,2020,ratio,1.57
Europe,Europe,Power usage effectiveness,Historical,2023,ratio,1.47
Europe,Europe,Power usage effectiveness,Historical,2024,ratio,1.45
Europe,Europe,Power usage effectiveness,Base Case,2030,ratio,1.29
Africa,Africa,Power usage effectiveness,Historical,2020,ratio,1.97
Africa,Africa,Power usage effectiveness,Historical,2023,ratio,1.85
Africa,Africa,Power usage effectiveness,Historical,2024,ratio,1.81
Africa,Africa,Power usage effectiveness,Base Case,2030,ratio,1.59
Middle East,Middle East,Power usage effectiveness,Historical,2020,ratio,2.06
Middle East,Middle East,Power usage effectiveness,Historical,2023,ratio,1.96
Middle East,Middle East,Power usage effectiveness,Historical,2024,ratio,1.92
Middle East,Middle East,Power usage effectiveness,Base Case,2030,ratio,1.7
Asia Pacific,Asia Pacific,Power usage effectiveness,Historical,2020,ratio,1.68
Asia Pacific,Asia Pacific,Power usage effectiveness,Historical,2023,ratio,1.55
Asia Pacific,Asia Pacific,Power usage effectiveness,Historical,2024,ratio,1.5
Asia Pacific,Asia Pacific,Power usage effectiveness,Base Case,2030,ratio,1.35
China,China,Power usage effectiveness,Historical,2020,ratio,1.67
China,China,Power usage effectiveness,Historical,2023,ratio,1.56
China,China,Power usage effectiveness,Historical,2024,ratio,1.5
China,China,Power usage effectiveness,Base Case,2030,ratio,1.35
World,World,Load factor (%),Historical,2020,percent,51.0
World,World,Load factor (%),Historical,2023,percent,49.0
World,World,Load factor (%),Historical,2024,percent,49.0
World,World,Load factor (%),Base Case,2030,percent,48.0
North America,North America,Load factor (%),Historical,2020,percent,53.0
North America,North America,Load factor (%),Historical,2023,percent,51.0
North America,North America,Load factor (%),Historical,2024,percent,50.0
North America,North America,Load factor (%),Base Case,2030,percent,48.0
United States,United States,Load factor (%),Historical,2020,percent,53.0
United States,United States,Load factor (%),Historical,2023,percent,51.0
United States,United States,Load factor (%),Historical,2024,percent,50.0
United States,United States,Load factor (%),Base Case,2030,percent,49.0
Central and South America,Central and South America,Load factor (%),Historical,2020,percent,50.0
Central and South America,Central and South America,Load factor (%),Historical,2023,percent,48.0
Central and South America,Central and South America,Load factor (%),Historical,2024,percent,47.0
Central and South America,Central and South America,Load factor (%),Base Case,2030,percent,46.0
Europe,Europe,Load factor (%),Historical,2020,percent,51.0
Europe,Europe,Load factor (%),Historical,2023,percent,49.0
Europe,Europe,Load factor (%),Historical,2024,percent,48.0
Europe,Europe,Load factor (%),Base Case,2030,percent,48.0
Africa,Africa,Load factor (%),Historical,2020,percent,49.0
Africa,Africa,Load factor (%),Historical,2023,percent,46.0
Africa,Africa,Load factor (%),Historical,2024,percent,46.0
Africa,Africa,Load factor (%),Base Case,2030,percent,45.0
Middle East,Middle East,Load factor (%),Historical,2020,percent,49.0
Middle East,Middle East,Load factor (%),Historical,2023,percent,46.0
Middle East,Middle East,Load factor (%),Historical,2024,percent,46.0
Middle East,Middle East,Load factor (%),Base Case,2030,percent,45.0
Asia Pacific,Asia Pacific,Load factor (%),Historical,2020,percent,50.0
Asia Pacific,Asia Pacific,Load factor (%),Historical,2023,percent,48.0
Asia Pacific,Asia Pacific,Load factor (%),Historical,2024,percent,48.0
Asia Pacific,Asia Pacific,Load factor (%),Base Case,2030,percent,47.0
China,China,Load factor (%),Historical,2020,percent,50.0
China,China,Load factor (%),Historical,2023,percent,48.0
China,China,Load factor (%),Historical,2024,percent,48.0
China,China,Load factor (%),Base Case,2030,percent,47.0
World,World,Total electricity consumption (TWh),Historical,2020,TWh,269.0
World,World,Total electricity consumption (TWh),Historical,2023,TWh,361.0
World,World,Total electricity consumption (TWh),Historical,2024,TWh,416.0
World,World,Total electricity consumption (TWh),Base Case,2030,TWh,946.0
North America,North America,Total electricity consumption (TWh),Historical,2020,TWh,112.0
North America,North America,Total electricity consumption (TWh),Historical,2023,TWh,158.0
North America,North America,Total electricity consumption (TWh),Historical,2024,TWh,187.0
North America,North America,Total electricity consumption (TWh),Base Case,2030,TWh,434.0
United States,United States,Total electricity consumption (TWh),Historical,2020,TWh,108.0
United States,United States,Total electricity consumption (TWh),Historical,2023,TWh,154.0
United States,United States,Total electricity consumption (TWh),Historical,2024,TWh,183.0
United States,United States,Total electricity consumption (TWh),Base Case,2030,TWh,426.0
Central and South America,Central and South America,Total electricity consumption (TWh),Historical,2020,TWh,1.5
