project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,Europe,Europe,Cancelled,Industry,Capture,,,,2025,2019,700000.0,0.7,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
8Rivers H2 (8RH2) (WY),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Emirates Steel Industries,United Arab Emirates,Middle East,Middle East,Operational,Industry,Full chain,,EOR,,2016,2007,800000.0,0.8,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
Habshan-Bab gas plant,United Arab Emirates,Middle East,Middle East,Under construction,Fuel transformation,Full chain,,EOR,,2026,2020,1500000.0,1.5,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,Middle East,Middle East,Planned,Fuel transformation,Full chain,,EOR,,2030,2020,2300000.0,2.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2016,300000.0,0.3,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 1-T&S,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2028,2016,800000.0,0.8,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Acorn CCS phase 2,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,,2017,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Acorn H2,United Kingdom,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2018,400000.0,0.4,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Adbri Project,Australia,Australia,Australia and New Zealand,Cancelled,Industry,Capture,,Dedicated storage,,,2021,,,,,Cancelled,Industry,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Mt Simon Hub CCS Pipeline (IA),United States,United States,North America,Cancelled,CO2 T&S,Transport,,Dedicated storage,,2028,2022,12000000.0,12.0,,,Cancelled,CO2 T&S,IEA-CCUS-2026.xlsx,cancelled_or_suspended
ADM Cedar rapids bioethanol (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
ADM Clinton bioethanol (IA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2022,,,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Aemetis CCS Keyes facility (CA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Aemetis CCS Riverbank facility (CA),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2028,2021,200000.0,0.2,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Air Liquide hydrogen facility Rotterdam (Porthos),Netherlands,Europe,Europe,Under construction,Fuel transformation,Capture,,Dedicated storage,,2026,2012,500000.0,0.5,,,Under construction,Fuel transformation,IEA-CCUS-2026.xlsx,under_construction
Aramis CCS transport phase 1,Netherlands,Europe,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2030,2019,12900000.0,12.9,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
