common_region,year,ai_scenario,ai_it_electricity_twh,ai_it_capacity_gw,ai_load_factor,ai_pue,ai_electricity_twh,ai_capacity_gw
Africa,2020,Historical,0.6,0.1,49.0,1.97,1.1,0.3
Africa,2023,Historical,0.7,0.2,46.0,1.85,1.3,0.3
Africa,2024,Historical,0.8,0.2,46.0,1.81,1.4,0.4
Africa,2030,Base Case,1.8,0.5,45.0,1.59,2.9,0.7
Asia Pacific,2020,Historical,55.0,12.0,50.0,1.68,93.0,21.0
Asia Pacific,2023,Historical,82.0,19.0,48.0,1.55,128.0,30.0
Asia Pacific,2024,Historical,100.0,24.0,48.0,1.5,150.0,36.0
Asia Pacific,2030,Base Case,281.0,67.0,47.0,1.35,378.0,92.0
Central and South America,2020,Historical,0.8,0.2,50.0,1.82,1.5,0.3
Central and South America,2023,Historical,0.8,0.2,48.0,1.73,1.5,0.4
Central and South America,2024,Historical,1.0,0.2,47.0,1.7,1.7,0.4
Central and South America,2030,Base Case,2.2,0.5,46.0,1.5,3.3,0.8
China,2020,Historical,37.0,8.0,50.0,1.67,62.0,14.0
China,2023,Historical,54.0,13.0,48.0,1.56,84.0,20.0
China,2024,Historical,68.0,16.0,48.0,1.5,102.0,24.0
China,2030,Base Case,205.0,49.0,47.0,1.35,277.0,67.0
Europe,2020,Historical,36.0,8.0,51.0,1.57,57.0,13.0
Europe,2023,Historical,45.0,10.0,49.0,1.47,66.0,15.0
Europe,2024,Historical,47.0,11.0,48.0,1.45,68.0,16.0
Europe,2030,Base Case,88.0,21.0,48.0,1.29,113.0,27.0
Middle East,2020,Historical,0.5,0.1,49.0,2.06,1.1,0.3
Middle East,2023,Historical,0.7,0.2,46.0,1.96,1.3,0.3
Middle East,2024,Historical,0.8,0.2,46.0,1.92,1.5,0.4
Middle East,2030,Base Case,1.7,0.4,45.0,1.7,3.0,0.7
North America,2020,Historical,80.0,17.0,53.0,1.39,112.0,24.0
North America,2023,Historical,120.0,26.0,51.0,1.32,158.0,35.0
North America,2024,Historical,142.0,32.0,50.0,1.32,187.0,43.0
North America,2030,Base Case,351.0,82.0,48.0,1.24,434.0,102.0
United States,2020,Historical,78.0,17.0,53.0,1.39,108.0,23.0
United States,2023,Historical,117.0,26.0,51.0,1.31,154.0,35.0
United States,2024,Historical,139.0,31.0,50.0,1.32,183.0,42.0
United States,2030,Base Case,345.0,81.0,49.0,1.23,426.0,100.0
World,2020,Historical,176.0,38.0,51.0,1.53,269.0,60.0
World,2023,Historical,252.0,57.0,49.0,1.43,361.0,83.0
World,2024,Historical,295.0,68.0,49.0,1.41,416.0,97.0
World,2030,Base Case,733.0,174.0,48.0,1.29,946.0,226.0
World,2030,Headwinds,522.0,122.0,48.0,1.28,669.0,158.0
World,2030,High Efficiency,657.0,153.0,49.0,1.21,792.0,185.0
World,2030,Lift-Off,972.0,233.0,47.0,1.3,1264.0,305.0
World,2035,Base Case,985.0,228.0,49.0,1.21,1193.0,277.0
World,2035,Headwinds,587.0,132.0,50.0,1.2,707.0,160.0
World,2035,High Efficiency,864.0,196.0,50.0,1.13,972.0,221.0
World,2035,Lift-Off,1409.0,330.0,49.0,1.22,1719.0,404.0
