common_region,year,ccus_project_count,annual_ccus_capacity_tpa,annual_ccus_capacity_mtpa,cumulative_ccus_capacity_tpa,cumulative_ccus_capacity_mtpa,operating_project_count,planned_project_count,under_construction_project_count
Africa,2010,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2011,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2012,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2013,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2014,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2015,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2016,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2017,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2018,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2019,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2020,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2021,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2022,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2023,0,0.0,0.0,0.0,0.0,0,0,0
Africa,2024,3,50000.0,0.05,50000.0,0.05,0,3,0
Africa,2025,0,0.0,0.0,50000.0,0.05,0,0,0
Africa,2026,1,1000.0,0.001,51000.0,0.051,0,1,0
Africa,2027,2,7000.0,0.007,58000.0,0.058,0,1,1
Africa,2028,2,1023000.0,1.023,1081000.0,1.081,0,2,0
Africa,2029,1,70000.0,0.07,1151000.0,1.151,0,1,0
Africa,2030,1,1600000.0,1.6,2751000.0,2.751,0,1,0
Africa,2031,0,0.0,0.0,2751000.0,2.751,0,0,0
Africa,2032,0,0.0,0.0,2751000.0,2.751,0,0,0
Africa,2033,0,0.0,0.0,2751000.0,2.751,0,0,0
Africa,2034,0,0.0,0.0,2751000.0,2.751,0,0,0
Africa,2035,0,0.0,0.0,2751000.0,2.751,0,0,0
Algeria,2010,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2011,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2012,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2013,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2014,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2015,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2016,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2017,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2018,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2019,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2020,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2021,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2022,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2023,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2024,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2025,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2026,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2027,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2028,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2029,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2030,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2031,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2032,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2033,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2034,0,0.0,0.0,0.0,0.0,0,0,0
Algeria,2035,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2010,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2011,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2012,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2013,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2014,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2015,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2016,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2017,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2018,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2019,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2020,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2021,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2022,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2023,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2024,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2025,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2026,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2027,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2028,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2029,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2030,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2031,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2032,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2033,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2034,0,0.0,0.0,0.0,0.0,0,0,0
Asia Pacific,2035,0,0.0,0.0,0.0,0.0,0,0,0
Australia,2010,1,800000.0,0.8,800000.0,0.8,0,1,0
Australia,2011,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2012,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2013,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2014,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2015,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2016,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2017,0,0.0,0.0,800000.0,0.8,0,0,0
Australia,2018,1,0.0,0.0,800000.0,0.8,0,1,0
Australia,2019,1,1600000.0,1.6,2400000.0,2.4,1,0,0
Australia,2020,0,0.0,0.0,2400000.0,2.4,0,0,0
Australia,2021,5,15000000.0,15.0,17400000.0,17.4,0,3,0
Australia,2022,7,5850000.0,5.85,23250000.0,23.25,0,6,0
Australia,2023,3,500000.0,0.5,23750000.0,23.75,0,3,0
Australia,2024,5,2200000.0,2.2,25950000.0,25.95,1,4,0
Australia,2025,5,2825000.0,2.825,28775000.0,28.775,0,3,0
Australia,2026,1,110000.0,0.11,28885000.0,28.885,0,0,0
Australia,2027,1,100000.0,0.1,28985000.0,28.985,0,1,0
Australia,2028,8,11850000.0,11.85,40835000.0,40.835,0,8,0
Australia,2029,1,0.0,0.0,40835000.0,40.835,0,1,0
Australia,2030,5,17800000.0,17.8,58635000.0,58.635,0,4,0
Australia,2031,0,0.0,0.0,58635000.0,58.635,0,0,0
Australia,2032,0,0.0,0.0,58635000.0,58.635,0,0,0
Australia,2033,0,0.0,0.0,58635000.0,58.635,0,0,0
Australia,2034,0,0.0,0.0,58635000.0,58.635,0,0,0
Australia,2035,0,0.0,0.0,58635000.0,58.635,0,0,0
Australia and New Zealand,2010,1,800000.0,0.8,800000.0,0.8,0,1,0
Australia and New Zealand,2011,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2012,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2013,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2014,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2015,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2016,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2017,0,0.0,0.0,800000.0,0.8,0,0,0
Australia and New Zealand,2018,2,1000000.0,1.0,1800000.0,1.8,0,2,0
Australia and New Zealand,2019,1,1600000.0,1.6,3400000.0,3.4,1,0,0
Australia and New Zealand,2020,0,0.0,0.0,3400000.0,3.4,0,0,0
Australia and New Zealand,2021,6,22700000.0,22.7,26100000.0,26.1,0,4,0
Australia and New Zealand,2022,7,5850000.0,5.85,31950000.0,31.95,0,6,0
Australia and New Zealand,2023,3,500000.0,0.5,32450000.0,32.45,0,3,0
Australia and New Zealand,2024,6,2200000.0,2.2,34650000.0,34.65,1,5,0
Australia and New Zealand,2025,5,2825000.0,2.825,37475000.0,37.475,0,3,0
Australia and New Zealand,2026,1,110000.0,0.11,37585000.0,37.585,0,0,0
Australia and New Zealand,2027,1,100000.0,0.1,37685000.0,37.685,0,1,0
Australia and New Zealand,2028,9,14150000.0,14.15,51835000.0,51.835,0,9,0
Australia and New Zealand,2029,1,0.0,0.0,51835000.0,51.835,0,1,0
Australia and New Zealand,2030,7,21100000.0,21.1,72935000.0,72.935,0,6,0
Australia and New Zealand,2031,0,0.0,0.0,72935000.0,72.935,0,0,0
Australia and New Zealand,2032,0,0.0,0.0,72935000.0,72.935,0,0,0
Australia and New Zealand,2033,0,0.0,0.0,72935000.0,72.935,0,0,0
Australia and New Zealand,2034,0,0.0,0.0,72935000.0,72.935,0,0,0
Australia and New Zealand,2035,1,5000000.0,5.0,77935000.0,77.935,0,1,0
Australia and Other Asia Pacific,2010,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2011,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2012,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2013,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2014,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2015,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2016,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2017,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2018,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2019,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2020,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2021,0,0.0,0.0,0.0,0.0,0,0,0
Australia and Other Asia Pacific,2022,1,2500000.0,2.5,2500000.0,2.5,0,1,0
Australia and Other Asia Pacific,2023,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2024,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2025,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2026,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2027,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2028,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2029,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2030,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2031,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2032,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2033,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2034,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia and Other Asia Pacific,2035,0,0.0,0.0,2500000.0,2.5,0,0,0
Australia-Japan,2010,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2011,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2012,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2013,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2014,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2015,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2016,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2017,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2018,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2019,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2020,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2021,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2022,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2023,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2024,1,0.0,0.0,0.0,0.0,0,1,0
Australia-Japan,2025,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2026,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2027,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2028,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2029,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2030,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2031,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2032,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2033,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2034,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Japan,2035,1,5000000.0,5.0,5000000.0,5.0,0,1,0
Australia-Timor Leste,2010,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2011,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2012,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2013,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2014,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2015,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2016,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2017,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2018,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2019,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2020,0,0.0,0.0,0.0,0.0,0,0,0
Australia-Timor Leste,2021,1,7700000.0,7.7,7700000.0,7.7,0,1,0
Australia-Timor Leste,2022,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2023,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2024,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2025,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2026,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2027,0,0.0,0.0,7700000.0,7.7,0,0,0
Australia-Timor Leste,2028,1,2300000.0,2.3,10000000.0,10.0,0,1,0
Australia-Timor Leste,2029,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2030,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2031,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2032,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2033,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2034,0,0.0,0.0,10000000.0,10.0,0,0,0
Australia-Timor Leste,2035,0,0.0,0.0,10000000.0,10.0,0,0,0
Austria,2010,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2011,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2012,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2013,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2014,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2015,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2016,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2017,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2018,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2019,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2020,0,0.0,0.0,0.0,0.0,0,0,0
Austria,2021,0,0.0,0.0,0.0,0.0,0,0,0
