common_region,year,ev_scenario,ev_sales,ev_stock,ev_electricity_twh,ev_sales_cars,ev_stock_cars,ev_sales_bev,ev_sales_phev,ev_sales_fcev
Africa,2013,Historical,68.0,34.0,0.0,34.0,34.0,68.0,0.0,0.0
Africa,2014,Historical,29.0,97.0,0.0,15.0,49.0,28.0,1.0,0.0
Africa,2015,Historical,440.0,410.0,0.0,240.0,280.0,320.0,120.0,0.0
Africa,2016,Historical,525.0,880.0,0.0,380.0,660.0,245.0,280.0,0.0
Africa,2017,Historical,330.0,1040.0,0.0,202.0,870.0,200.0,130.0,0.0
Africa,2018,Historical,334.0,1256.0,0.0,230.0,1100.0,204.0,130.0,0.0
Africa,2019,Historical,854.0,2000.0,0.0,450.0,1550.0,694.0,160.0,0.0
Africa,2020,Historical,1475.0,3326.0,0.0,430.0,1940.0,1265.0,210.0,0.0
Africa,2021,Historical,2497.0,5560.0,0.0,1071.0,3001.0,2326.0,170.0,1.0
Africa,2022,Historical,8712.0,13608.0,0.0,2562.0,5403.0,8250.0,460.0,2.0
Africa,2023,Historical,10890.0,26261.0,0.0,3790.0,9303.0,10200.0,690.0,0.0
Africa,2024,Historical,20500.0,45803.0,0.0,10500.0,19203.0,18400.0,2100.0,0.0
Asia Pacific,2010,Historical,46532.0,56787.0,0.0,4442.0,6340.0,46190.0,340.0,2.0
Asia Pacific,2011,Historical,50950.0,107780.0,0.0,19340.0,24680.0,50450.0,500.0,0.0
Asia Pacific,2012,Historical,2040111.0,2073740.0,0.0,35001.0,62000.0,2028600.0,11510.0,1.0
Asia Pacific,2013,Historical,2352604.0,4225700.0,0.0,46004.0,107000.0,2335800.0,16800.0,4.0
Asia Pacific,2014,Historical,2821507.0,6850100.0,0.0,110007.0,209000.0,2773500.0,48000.0,7.0
Asia Pacific,2015,Historical,3025420.0,9909427.0,0.0,236420.0,450410.0,2936000.0,89000.0,420.0
Asia Pacific,2016,Historical,3511700.0,13155518.0,0.0,371100.0,811500.0,3413000.0,97600.0,1100.0
Asia Pacific,2017,Historical,4400540.0,18062758.0,0.0,670920.0,1492400.0,4239000.0,160240.0,1300.0
Asia Pacific,2018,Historical,6398992.0,25386417.0,0.0,1221500.0,2603800.0,6085000.0,311200.0,2792.0
Asia Pacific,2019,Historical,7692373.0,33684876.0,0.0,1164900.0,3768700.0,7423000.0,261358.0,8015.0
Asia Pacific,2020,Historical,10078090.0,43064637.0,0.0,1255500.0,5014000.0,9808000.0,261830.0,8260.0
Asia Pacific,2021,Historical,14681809.0,56820472.0,0.0,3522000.0,8626000.0,14056000.0,611580.0,14229.0
Asia Pacific,2022,Historical,16304870.0,68009173.0,0.0,6411000.0,14537000.0,14686000.0,1602860.0,16010.0
Asia Pacific,2023,Historical,18978635.0,93042103.0,0.0,8805100.0,23242000.0,16165000.0,2801635.0,12000.0
Asia Pacific,2024,Historical,22334735.0,114455503.0,0.0,12003500.0,35045000.0,17323000.0,5000035.0,11700.0
Australia,2011,Historical,49.0,49.0,0.0,49.0,49.0,49.0,0.0,0.0
Australia,2012,Historical,250.0,300.0,0.0,250.0,300.0,170.0,80.0,0.0
Australia,2013,Historical,290.0,590.0,0.0,290.0,590.0,190.0,100.0,0.0
Australia,2014,Historical,1320.0,1880.0,0.0,1320.0,1880.0,370.0,950.0,0.0
Australia,2015,Historical,1760.0,3600.0,0.0,1760.0,3600.0,760.0,1000.0,0.0
Australia,2016,Historical,1850.0,5000.0,0.0,1370.0,5000.0,1150.0,700.0,0.0
Australia,2017,Historical,3020.0,7300.0,0.0,2300.0,7300.0,1920.0,1100.0,0.0
Australia,2018,Historical,4600.0,11900.0,0.0,3600.0,10900.0,2800.0,1800.0,0.0
Australia,2019,Historical,10500.0,22900.0,0.0,9200.0,20600.0,7600.0,2900.0,0.0
Australia,2020,Historical,9300.0,31700.0,0.0,6900.0,27000.0,7600.0,1700.0,0.0
Australia,2021,Historical,22044.0,54344.0,0.0,20444.0,48044.0,18600.0,3400.0,44.0
Australia,2022,Historical,41015.0,96500.0,0.0,38915.0,88100.0,35100.0,5900.0,15.0
Australia,2023,Historical,106106.0,199065.0,0.0,98006.0,181065.0,95100.0,11000.0,6.0
Australia,2024,Historical,118824.0,326089.0,0.0,112024.0,302089.0,97800.0,21000.0,24.0
