common_region,year,ev_scenario,ev_sales,ev_stock,ev_electricity_twh,ev_sales_cars,ev_stock_cars,ev_sales_bev,ev_sales_phev,ev_sales_fcev,ai_scenario,ai_it_electricity_twh,ai_it_capacity_gw,ai_load_factor,ai_pue,ai_electricity_twh,ai_capacity_gw,ccus_project_count,annual_ccus_capacity_tpa,annual_ccus_capacity_mtpa,cumulative_ccus_capacity_tpa,cumulative_ccus_capacity_mtpa,operating_project_count,planned_project_count,under_construction_project_count,combined_electricity_demand_twh,ev_share_of_combined_demand,ai_share_of_combined_demand,ccus_capacity_per_twh_demand,ev_ai_growth_pressure_score,ccus_buffer_score,ev_growth_rate,ai_growth_rate,demand_pressure_component,ev_growth_pressure_component,ai_growth_pressure_component,ccus_buffer_component,regional_pressure_score,pressure_class
Africa,2020,Historical,1475.0,3326.0,0.0,430.0,1940.0,1265.0,210.0,0.0,Historical,0.6,0.1,49.0,1.97,1.1,0.3,0,0.0,0.0,0.0,0.0,0,0,0,1.1,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.0,2.3255813953488373,46.51162790697674,33.72093023255814,15.11627906976744,31.102362204724404,Medium Pressure
Africa,2023,Historical,10890.0,26261.0,0.0,3790.0,9303.0,10200.0,690.0,0.0,Historical,0.7,0.2,46.0,1.85,1.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0,1.3,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.18181818181818166,4.651162790697675,46.51162790697674,81.3953488372093,15.11627906976744,48.62204724409449,Medium Pressure
Africa,2024,Historical,20500.0,45803.0,0.0,10500.0,19203.0,18400.0,2100.0,0.0,Historical,0.8,0.2,46.0,1.81,1.4,0.4,3,50000.0,0.05,50000.0,0.05,0,3,0,1.4,0.0,1.0,35714.28571428572,0.0,30.23255813953488,0.0,0.07692307692307687,6.976744186046512,46.51162790697674,69.76744186046511,30.23255813953488,39.66535433070867,Medium Pressure
Asia Pacific,2020,Historical,10078090.0,43064637.0,0.0,1255500.0,5014000.0,9808000.0,261830.0,8260.0,Historical,55.0,12.0,50.0,1.68,93.0,21.0,0,0.0,0.0,0.0,0.0,0,0,0,93.0,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.0,37.2093023255814,46.51162790697674,33.72093023255814,15.11627906976744,51.77165354330708,High Pressure
Asia Pacific,2023,Historical,18978635.0,93042103.0,0.0,8805100.0,23242000.0,16165000.0,2801635.0,12000.0,Historical,82.0,19.0,48.0,1.55,128.0,30.0,0,0.0,0.0,0.0,0.0,0,0,0,128.0,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.3763440860215055,51.162790697674424,46.51162790697674,95.34883720930233,15.11627906976744,80.90551181102363,Critical Pressure
Asia Pacific,2024,Historical,22334735.0,114455503.0,0.0,12003500.0,35045000.0,17323000.0,5000035.0,11700.0,Historical,100.0,24.0,48.0,1.5,150.0,36.0,0,0.0,0.0,0.0,0.0,0,0,0,150.0,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.171875,53.48837209302325,46.51162790697674,79.06976744186046,15.11627906976744,76.77165354330707,Critical Pressure
Central and South America,2020,Historical,16767.0,543813.0,0.0,4900.0,11700.0,14266.0,2500.0,1.0,Historical,0.8,0.2,50.0,1.82,1.5,0.3,0,0.0,0.0,14200000.0,14.2,0,0,0,1.5,0.0,1.0,9466666.666666666,0.0,97.67441860465115,0.0,0.0,10.465116279069768,46.51162790697674,33.72093023255814,97.67441860465115,0.9842519685039418,Low Pressure
Central and South America,2023,Historical,89391.0,687574.9,0.0,73000.0,138005.0,52390.0,37000.0,1.0,Historical,0.8,0.2,48.0,1.73,1.5,0.4,1,0.0,0.0,14430000.0,14.43,0,1,0,1.5,0.0,1.0,9620000.0,0.0,100.0,0.0,0.0,10.465116279069768,46.51162790697674,33.72093023255814,100.0,0.0,Low Pressure
Central and South America,2024,Historical,182576.0,864180.8,0.0,167000.0,310005.0,113570.0,69001.0,5.0,Historical,1.0,0.2,47.0,1.7,1.7,0.4,1,0.0,0.0,14430000.0,14.43,0,1,0,1.7,0.0,1.0,8488235.294117648,0.0,95.34883720930233,0.0,0.1333333333333333,13.953488372093023,46.51162790697674,72.09302325581395,95.34883720930233,17.0275590551181,Low Pressure
China,2020,Historical,9442328.0,38490635.0,0.0,1140000.0,4490000.0,9218000.0,221828.0,2500.0,Historical,37.0,8.0,50.0,1.67,62.0,14.0,0,0.0,0.0,0.0,0.0,0,0,0,62.0,0.0,1.0,0.0,0.0,15.11627906976744,0.0,0.0,22.093023255813954,46.51162790697674,33.72093023255814,15.11627906976744,42.81496062992126,Medium Pressure
