common_region,year,ev_scenario,ai_scenario,combined_electricity_demand_twh,model,prediction,residual,absolute_error,best_model
China,2030,STEPS,Base Case,678.0,Ridge,674.3026822399595,-3.697317760040505,3.697317760040505,Ridge
Europe,2030,STEPS,Base Case,280.83000000000004,Ridge,278.75761564754725,-2.0723843524527865,2.0723843524527865,Ridge
United States,2030,STEPS,Base Case,517.439,Ridge,527.9010836723778,10.462083672377844,10.462083672377844,Ridge
World,2030,STEPS,Base Case,1727.0,Ridge,1730.835101839328,3.83510183932799,3.83510183932799,Ridge
World,2030,STEPS,Headwinds,1450.0,Ridge,1429.98322543177,-20.01677456822995,20.01677456822995,Ridge
World,2030,STEPS,High Efficiency,1573.0,Ridge,1550.713447243351,-22.286552756648916,22.286552756648916,Ridge
World,2030,STEPS,Lift-Off,2045.0,Ridge,2079.1249084911315,34.124908491131464,34.124908491131464,Ridge
China,2030,STEPS,Base Case,678.0,RandomForestRegressor,366.85657999999995,-311.14342000000005,311.14342000000005,Ridge
Europe,2030,STEPS,Base Case,280.83000000000004,RandomForestRegressor,175.67921999999996,-105.15078000000008,105.15078000000008,Ridge
United States,2030,STEPS,Base Case,517.439,RandomForestRegressor,353.95554000000004,-163.48345999999992,163.48345999999992,Ridge
World,2030,STEPS,Base Case,1727.0,RandomForestRegressor,526.438320000001,-1200.561679999999,1200.561679999999,Ridge
World,2030,STEPS,Headwinds,1450.0,RandomForestRegressor,526.438320000001,-923.561679999999,923.561679999999,Ridge
World,2030,STEPS,High Efficiency,1573.0,RandomForestRegressor,526.438320000001,-1046.561679999999,1046.561679999999,Ridge
World,2030,STEPS,Lift-Off,2045.0,RandomForestRegressor,526.438320000001,-1518.561679999999,1518.561679999999,Ridge
China,2030,STEPS,Base Case,678.0,GradientBoostingRegressor,323.70683692212197,-354.29316307787803,354.29316307787803,Ridge
Europe,2030,STEPS,Base Case,280.83000000000004,GradientBoostingRegressor,202.62813352979595,-78.2018664702041,78.2018664702041,Ridge
United States,2030,STEPS,Base Case,517.439,GradientBoostingRegressor,379.1428115474106,-138.29618845258938,138.29618845258938,Ridge
World,2030,STEPS,Base Case,1727.0,GradientBoostingRegressor,592.1429430721207,-1134.8570569278793,1134.8570569278793,Ridge
World,2030,STEPS,Headwinds,1450.0,GradientBoostingRegressor,592.1429430721207,-857.8570569278793,857.8570569278793,Ridge
World,2030,STEPS,High Efficiency,1573.0,GradientBoostingRegressor,591.922002409968,-981.077997590032,981.077997590032,Ridge
World,2030,STEPS,Lift-Off,2045.0,GradientBoostingRegressor,592.1429430721207,-1452.8570569278793,1452.8570569278793,Ridge
