common_region,year,ev_scenario,ai_scenario,ccus_scenario,ev_electricity_twh,ai_electricity_twh,combined_electricity_demand_twh,ccus_capacity_tpa,ccus_capacity_mtpa,ccus_buffer_ratio,regional_pressure_score,pressure_class
Africa,2020,Historical,Historical,operating_only,0.0,1.1,1.1,0.0,0.0,0.0,31.102362204724404,Medium Pressure
Africa,2023,Historical,Historical,operating_only,0.0,1.3,1.3,0.0,0.0,0.0,48.62204724409449,Medium Pressure
Africa,2024,Historical,Historical,operating_only,0.0,1.4,1.4,22500.0,0.022500000000000003,16071.428571428572,39.66535433070867,Medium Pressure
Asia Pacific,2020,Historical,Historical,operating_only,0.0,93.0,93.0,0.0,0.0,0.0,51.77165354330708,High Pressure
Asia Pacific,2023,Historical,Historical,operating_only,0.0,128.0,128.0,0.0,0.0,0.0,80.90551181102363,Critical Pressure
Asia Pacific,2024,Historical,Historical,operating_only,0.0,150.0,150.0,0.0,0.0,0.0,76.77165354330707,Critical Pressure
Central and South America,2020,Historical,Historical,operating_only,0.0,1.5,1.5,6390000.0,6.39,4260000.0,0.9842519685039418,Low Pressure
Central and South America,2023,Historical,Historical,operating_only,0.0,1.5,1.5,6493500.0,6.4935,4329000.0,0.0,Low Pressure
Central and South America,2024,Historical,Historical,operating_only,0.0,1.7,1.7,6493500.0,6.4935,3819705.882352941,17.0275590551181,Low Pressure
China,2020,Historical,Historical,operating_only,0.0,62.0,62.0,0.0,0.0,0.0,42.81496062992126,Medium Pressure
China,2020,STEPS,Historical,operating_only,0.0,62.0,62.0,0.0,0.0,0.0,42.81496062992126,Medium Pressure
China,2023,Historical,Historical,operating_only,0.0,84.0,84.0,0.0,0.0,0.0,69.78346456692913,High Pressure
China,2023,STEPS,Historical,operating_only,0.0,84.0,84.0,0.0,0.0,0.0,49.704724409448815,Medium Pressure
China,2024,Historical,Historical,operating_only,0.0,102.0,102.0,0.0,0.0,0.0,71.65354330708661,High Pressure
China,2024,STEPS,Historical,operating_only,103.5,102.0,205.5,0.0,0.0,0.0,69.68503937007874,High Pressure
China,2030,STEPS,Base Case,operating_only,401.0,277.0,678.0,0.0,0.0,0.0,100.0,Critical Pressure
Europe,2020,Historical,Historical,operating_only,0.0,57.0,57.0,18156600.0,18.1566,318536.84210526315,27.263779527559052,Medium Pressure
Europe,2020,STEPS,Historical,operating_only,0.0,57.0,57.0,18156600.0,18.1566,318536.84210526315,27.263779527559052,Medium Pressure
Europe,2023,Historical,Historical,operating_only,0.0,66.0,66.0,71366400.0,71.36640000000001,1081309.0909090908,35.53149606299212,Medium Pressure
Europe,2023,STEPS,Historical,operating_only,0.0,66.0,66.0,71366400.0,71.36640000000001,1081309.0909090908,20.964566929133856,Low Pressure
Europe,2024,Historical,Historical,operating_only,0.0,68.0,68.0,84533850.0,84.53385,1243144.8529411764,31.003937007874015,Medium Pressure
Europe,2024,STEPS,Historical,operating_only,34.08,68.0,102.08,84533850.0,84.53385,828113.7343260188,35.33464566929134,Medium Pressure
Europe,2030,STEPS,Base Case,operating_only,167.83,113.0,280.83000000000004,326211300.0,326.2113,1161597.0515970513,67.2244094488189,High Pressure
North America,2020,Historical,Historical,operating_only,0.0,112.0,112.0,34429950.0,34.42995,307410.26785714284,47.342519685039356,Medium Pressure
North America,2023,Historical,Historical,operating_only,0.0,158.0,158.0,272392200.0,272.3922,1724001.2658227847,54.23228346456692,High Pressure
North America,2024,Historical,Historical,operating_only,0.0,187.0,187.0,275759100.0,275.7591,1474647.5935828877,55.21653543307087,High Pressure
United States,2020,Historical,Historical,operating_only,0.0,108.0,108.0,23134950.0,23.13495,214212.5,48.72047244094488,Medium Pressure
United States,2020,STEPS,Historical,operating_only,0.0,108.0,108.0,23134950.0,23.13495,214212.5,48.72047244094488,Medium Pressure
United States,2023,Historical,Historical,operating_only,0.0,154.0,154.0,242560350.0,242.56035000000003,1575067.2077922078,54.42913385826771,High Pressure
United States,2023,STEPS,Historical,operating_only,0.0,154.0,154.0,242560350.0,242.56035000000003,1575067.2077922078,31.988188976377952,Medium Pressure
United States,2024,Historical,Historical,operating_only,0.0,183.0,183.0,245861550.0,245.86155000000002,1343505.737704918,55.610236220472444,High Pressure
United States,2024,STEPS,Historical,operating_only,25.264,183.0,208.264,245861550.0,245.86155000000002,1180528.3198248376,43.996062992125985,Medium Pressure
