Region,Metric,Scenario,Year,Value
World,Total installed capacity (GW),Base Case,2020,60.0
World,Total installed capacity (GW),Base Case,2023,83.0
World,Total installed capacity (GW),Base Case,2024,97.0
World,Total installed capacity (GW),Base Case,2030,226.0
North America,Total installed capacity (GW),Base Case,2020,24.0
North America,Total installed capacity (GW),Base Case,2023,35.0
North America,Total installed capacity (GW),Base Case,2024,43.0
North America,Total installed capacity (GW),Base Case,2030,102.0
United States,Total installed capacity (GW),Base Case,2020,23.0
United States,Total installed capacity (GW),Base Case,2023,35.0
United States,Total installed capacity (GW),Base Case,2024,42.0
United States,Total installed capacity (GW),Base Case,2030,100.0
Central and South America,Total installed capacity (GW),Base Case,2020,0.3
Central and South America,Total installed capacity (GW),Base Case,2023,0.4
Central and South America,Total installed capacity (GW),Base Case,2024,0.4
Central and South America,Total installed capacity (GW),Base Case,2030,0.8
Europe,Total installed capacity (GW),Base Case,2020,13.0
Europe,Total installed capacity (GW),Base Case,2023,15.0
Europe,Total installed capacity (GW),Base Case,2024,16.0
Europe,Total installed capacity (GW),Base Case,2030,27.0
Africa,Total installed capacity (GW),Base Case,2020,0.3
Africa,Total installed capacity (GW),Base Case,2023,0.3
Africa,Total installed capacity (GW),Base Case,2024,0.4
Africa,Total installed capacity (GW),Base Case,2030,0.7
Middle East,Total installed capacity (GW),Base Case,2020,0.3
Middle East,Total installed capacity (GW),Base Case,2023,0.3
Middle East,Total installed capacity (GW),Base Case,2024,0.4
Middle East,Total installed capacity (GW),Base Case,2030,0.7
Asia Pacific,Total installed capacity (GW),Base Case,2020,21.0
Asia Pacific,Total installed capacity (GW),Base Case,2023,30.0
Asia Pacific,Total installed capacity (GW),Base Case,2024,36.0
Asia Pacific,Total installed capacity (GW),Base Case,2030,92.0
China,Total installed capacity (GW),Base Case,2020,14.0
China,Total installed capacity (GW),Base Case,2023,20.0
China,Total installed capacity (GW),Base Case,2024,24.0
China,Total installed capacity (GW),Base Case,2030,67.0
World,IT installed capacity (GW),Base Case,2020,38.0
World,IT installed capacity (GW),Base Case,2023,57.0
World,IT installed capacity (GW),Base Case,2024,68.0
World,IT installed capacity (GW),Base Case,2030,174.0
North America,IT installed capacity (GW),Base Case,2020,17.0
North America,IT installed capacity (GW),Base Case,2023,26.0
North America,IT installed capacity (GW),Base Case,2024,32.0
North America,IT installed capacity (GW),Base Case,2030,82.0
United States,IT installed capacity (GW),Base Case,2020,17.0
United States,IT installed capacity (GW),Base Case,2023,26.0
United States,IT installed capacity (GW),Base Case,2024,31.0
United States,IT installed capacity (GW),Base Case,2030,81.0
Central and South America,IT installed capacity (GW),Base Case,2020,0.2
Central and South America,IT installed capacity (GW),Base Case,2023,0.2
Central and South America,IT installed capacity (GW),Base Case,2024,0.2
Central and South America,IT installed capacity (GW),Base Case,2030,0.5
Europe,IT installed capacity (GW),Base Case,2020,8.0
Europe,IT installed capacity (GW),Base Case,2023,10.0
Europe,IT installed capacity (GW),Base Case,2024,11.0
Europe,IT installed capacity (GW),Base Case,2030,21.0
Africa,IT installed capacity (GW),Base Case,2020,0.1
Africa,IT installed capacity (GW),Base Case,2023,0.2
Africa,IT installed capacity (GW),Base Case,2024,0.2
Africa,IT installed capacity (GW),Base Case,2030,0.5
Middle East,IT installed capacity (GW),Base Case,2020,0.1
Middle East,IT installed capacity (GW),Base Case,2023,0.2
Middle East,IT installed capacity (GW),Base Case,2024,0.2
Middle East,IT installed capacity (GW),Base Case,2030,0.4
Asia Pacific,IT installed capacity (GW),Base Case,2020,12.0
Asia Pacific,IT installed capacity (GW),Base Case,2023,19.0
Asia Pacific,IT installed capacity (GW),Base Case,2024,24.0
Asia Pacific,IT installed capacity (GW),Base Case,2030,67.0
China,IT installed capacity (GW),Base Case,2020,8.0
China,IT installed capacity (GW),Base Case,2023,13.0
China,IT installed capacity (GW),Base Case,2024,16.0
China,IT installed capacity (GW),Base Case,2030,49.0
World,Power usage effectiveness,Base Case,2020,1.53
World,Power usage effectiveness,Base Case,2023,1.43
World,Power usage effectiveness,Base Case,2024,1.41
World,Power usage effectiveness,Base Case,2030,1.29
North America,Power usage effectiveness,Base Case,2020,1.39
North America,Power usage effectiveness,Base Case,2023,1.32
North America,Power usage effectiveness,Base Case,2024,1.32
North America,Power usage effectiveness,Base Case,2030,1.24
