Region,Metric,Scenario,Year,Value
World,Total electricity consumption (TWh),Historical,2020,269.0
World,Total electricity consumption (TWh),Historical,2023,361.0
World,Total electricity consumption (TWh),Historical,2024,416.0
World,Total electricity consumption (TWh),Base,2030,946.0
World,Total electricity consumption (TWh),Base,2035,1193.0
World,Total electricity consumption (TWh),Lift-Off,2030,1264.0
World,Total electricity consumption (TWh),Lift-Off,2035,1719.0
World,Total electricity consumption (TWh),High Efficiency,2030,792.0
World,Total electricity consumption (TWh),High Efficiency,2035,972.0
World,Total electricity consumption (TWh),Headwinds,2030,669.0
World,Total electricity consumption (TWh),Headwinds,2035,707.0
