Region,Powertrain,Year,ML_2030_sales,IEA_STEPS_2030_sales,ML_to_IEA_ratio
China,BEV,2030,4441850.966054771,13000000.0,0.3416808435426747
China,FCEV,2030,6809.670792588999,25000.0,0.27238683170355993
China,PHEV,2030,2347594.948388374,8200000.0,0.28629206687663095
Europe,BEV,2030,6093348.149452457,8000000.0,0.7616685186815572
Europe,FCEV,2030,9341.903680349951,4400.0,2.1231599273522614
Europe,PHEV,2030,3220439.9072362017,1500000.0,2.146959938157468
India,BEV,2030,26919.36403859914,610000.0,0.044130104981310064
India,PHEV,2030,14226.880179061336,110000.0,0.12933527435510306
Rest of the world,BEV,2030,225434.8332413019,4300000.0,0.052426705404953935
Rest of the world,PHEV,2030,119145.75517853844,1500000.0,0.07943050345235896
USA,BEV,2030,6111831.963627754,2700000.0,2.263641468010279
USA,FCEV,2030,9370.244825958012,1500.0,6.2468298839720084
USA,PHEV,2030,3230208.9242138723,670000.0,4.821207349572943
World,BEV,2030,23747494.893472347,28000000.0,0.8481248176240124
World,FCEV,2030,36410.92410616346,42000.0,0.8669267644324633
World,PHEV,2030,12550963.230670132,12000000.0,1.0459136025558442
